epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
115,4871.74,1.58349,0.83352,1.34785,0.93268,0.88827,0.93883,0.55414,1.46661,0.7096,1.31866,0.00556,0.00556,0.00556
116,4918.31,1.61938,0.84979,1.3478,0.93185,0.88576,0.93865,0.55548,1.46239,0.71074,1.31583,0.00543333,0.00543333,0.00543333
117,4964.51,1.61332,0.84711,1.35142,0.93004,0.89605,0.9403,0.55614,1.45901,0.70745,1.31637,0.00530667,0.00530667,0.00530667
118,5010.59,1.60167,0.82847,1.35118,0.93343,0.88815,0.94065,0.5546,1.46104,0.70291,1.31709,0.00518,0.00518,0.00518
119,5056.57,1.59275,0.8301,1.36419,0.93115,0.89582,0.9415,0.55492,1.46351,0.69999,1.31683,0.00505333,0.00505333,0.00505333
120,5102.9,1.59675,0.81398,1.35776,0.93315,0.89304,0.94106,0.55945,1.45713,0.69614,1.3158,0.00492667,0.00492667,0.00492667
121,5149.14,1.5893,0.8203,1.33896,0.93175,0.89318,0.94189,0.55681,1.46471,0.69625,1.31756,0.0048,0.0048,0.0048
122,5195.6,1.60221,0.8291,1.32896,0.9303,0.88758,0.93923,0.55993,1.46105,0.70243,1.31604,0.00467333,0.00467333,0.00467333
123,5242.08,1.58726,0.81737,1.34318,0.92802,0.88669,0.9384,0.55829,1.45477,0.6998,1.31323,0.00454667,0.00454667,0.00454667
124,5288.86,1.59131,0.8115,1.33333,0.9359,0.89114,0.94208,0.56281,1.44669,0.69453,1.30757,0.00442,0.00442,0.00442
125,5335.18,1.5895,0.82247,1.34702,0.93455,0.88811,0.94217,0.56125,1.4519,0.69542,1.30812,0.00429333,0.00429333,0.00429333
126,5381.71,1.60056,0.82133,1.34297,0.93401,0.88781,0.94092,0.56155,1.45552,0.69497,1.30887,0.00416667,0.00416667,0.00416667
127,5428.08,1.56201,0.80681,1.33239,0.93379,0.89283,0.94207,0.56486,1.45059,0.68965,1.30773,0.00404,0.00404,0.00404
128,5474.49,1.58935,0.81324,1.32793,0.93378,0.89458,0.94408,0.56236,1.45216,0.69156,1.30637,0.00391333,0.00391333,0.00391333
129,5521.23,1.58705,0.82341,1.33063,0.93476,0.89831,0.9452,0.56246,1.45329,0.69043,1.30845,0.00378667,0.00378667,0.00378667
130,5567.86,1.56948,0.81345,1.30943,0.93413,0.89483,0.94376,0.56078,1.45561,0.69259,1.30975,0.00366,0.00366,0.00366
131,5614.03,1.56025,0.80394,1.32979,0.93509,0.89918,0.94413,0.565,1.44575,0.69038,1.30661,0.00353333,0.00353333,0.00353333
132,5660.85,1.56043,0.79214,1.31909,0.93322,0.89691,0.94392,0.56303,1.44352,0.68911,1.30416,0.00340667,0.00340667,0.00340667
133,5707.56,1.57599,0.78289,1.31114,0.93757,0.8899,0.94247,0.56329,1.44245,0.68812,1.30221,0.00328,0.00328,0.00328
134,5754.26,1.58103,0.79819,1.33016,0.93403,0.89446,0.94292,0.5621,1.44551,0.69068,1.30309,0.00315333,0.00315333,0.00315333
135,5800.33,1.57387,0.79265,1.32475,0.93236,0.8922,0.94101,0.56407,1.44332,0.68596,1.30226,0.00302667,0.00302667,0.00302667
136,5846.97,1.57885,0.79451,1.33467,0.93121,0.89546,0.94218,0.56471,1.44282,0.68313,1.3032,0.0029,0.0029,0.0029
137,5893.55,1.57207,0.78908,1.31707,0.93266,0.89427,0.94241,0.56507,1.4395,0.6794,1.30129,0.00277333,0.00277333,0.00277333
138,5940.03,1.53744,0.77764,1.31887,0.92967,0.89985,0.94231,0.56578,1.44035,0.67959,1.30177,0.00264667,0.00264667,0.00264667
139,5986.5,1.56219,0.79234,1.31308,0.93529,0.89543,0.94339,0.56494,1.43944,0.68219,1.30024,0.00252,0.00252,0.00252
140,6032.59,1.51999,0.76415,1.30247,0.9368,0.8958,0.94455,0.56568,1.43628,0.68193,1.29753,0.00239333,0.00239333,0.00239333
141,6081.22,1.48327,0.68106,1.35241,0.93596,0.89759,0.94354,0.56533,1.43995,0.68125,1.29884,0.00226667,0.00226667,0.00226667
142,6126.95,1.45921,0.66983,1.3354,0.93702,0.90043,0.9456,0.56769,1.43572,0.6782,1.29905,0.00214,0.00214,0.00214
143,6172.85,1.4507,0.66463,1.32395,0.93724,0.90043,0.94664,0.56882,1.43636,0.6769,1.29874,0.00201333,0.00201333,0.00201333
144,6218.68,1.45221,0.65513,1.33403,0.9408,0.8995,0.94778,0.57106,1.43085,0.67208,1.2969,0.00188667,0.00188667,0.00188667
145,6264.34,1.44752,0.66089,1.32587,0.93688,0.90103,0.94785,0.57338,1.4312,0.67064,1.29608,0.00176,0.00176,0.00176
146,6310.3,1.45771,0.65899,1.32549,0.93694,0.90158,0.94696,0.57363,1.43006,0.67075,1.29682,0.00163333,0.00163333,0.00163333
147,6355.84,1.43453,0.64852,1.31295,0.93762,0.90074,0.94741,0.57295,1.43109,0.67043,1.29674,0.00150667,0.00150667,0.00150667
148,6401.57,1.4278,0.63997,1.31083,0.93589,0.90186,0.94811,0.57488,1.4263,0.66708,1.29362,0.00138,0.00138,0.00138
149,6447.8,1.43723,0.65178,1.32018,0.93521,0.90309,0.94846,0.57495,1.42673,0.66507,1.29442,0.00125333,0.00125333,0.00125333
150,6493.6,1.43022,0.64757,1.31936,0.93562,0.89974,0.94845,0.5756,1.42428,0.66458,1.29348,0.00112667,0.00112667,0.00112667
