epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
119,7088.62,1.52569,0.85309,1.31405,0.92983,0.88423,0.93833,0.55522,1.41255,0.7075,1.29093,0.00879,0.00879,0.00879
120,7166.6,1.50511,0.83641,1.30072,0.92503,0.89101,0.94046,0.55442,1.40275,0.71142,1.289,0.008695,0.008695,0.008695
121,7235.1,1.5029,0.82898,1.31463,0.93523,0.89076,0.94334,0.55687,1.40413,0.70468,1.28773,0.0086,0.0086,0.0086
122,7312.71,1.49889,0.82526,1.29933,0.93575,0.88687,0.9415,0.55526,1.4065,0.70845,1.28889,0.008505,0.008505,0.008505
123,7393.63,1.52088,0.82143,1.30931,0.93698,0.88952,0.9424,0.55798,1.40109,0.70044,1.28774,0.00841,0.00841,0.00841
124,7462.21,1.52243,0.83238,1.31518,0.93259,0.89466,0.94212,0.55859,1.40016,0.70216,1.28662,0.008315,0.008315,0.008315
125,7544.2,1.51826,0.83113,1.31136,0.93218,0.89217,0.94206,0.55944,1.39442,0.70223,1.28153,0.00822,0.00822,0.00822
126,7610.79,1.53173,0.83493,1.32309,0.93463,0.89488,0.94385,0.55892,1.39171,0.7022,1.28088,0.008125,0.008125,0.008125
127,7686.24,1.52151,0.82302,1.30965,0.93562,0.89373,0.94172,0.557,1.39255,0.70054,1.28113,0.00803,0.00803,0.00803
128,7758.22,1.47874,0.80645,1.30109,0.93822,0.89628,0.94385,0.56106,1.38919,0.69303,1.27946,0.007935,0.007935,0.007935
129,7827.96,1.50566,0.82646,1.30166,0.93984,0.89475,0.94284,0.56098,1.39587,0.70023,1.28237,0.00784,0.00784,0.00784
130,7896.95,1.48274,0.80322,1.29378,0.93463,0.89305,0.94192,0.55887,1.3987,0.7031,1.28272,0.007745,0.007745,0.007745
131,7970.68,1.47873,0.80841,1.2885,0.92537,0.89411,0.94009,0.55632,1.39926,0.70304,1.28138,0.00765,0.00765,0.00765
132,8039.3,1.48704,0.81744,1.30293,0.92485,0.89753,0.94277,0.55998,1.38668,0.69766,1.27423,0.007555,0.007555,0.007555
133,8113.26,1.50088,0.80919,1.30556,0.93311,0.89644,0.94392,0.56406,1.38504,0.69083,1.27284,0.00746,0.00746,0.00746
134,8197.75,1.49689,0.80329,1.29132,0.93784,0.89595,0.9431,0.56297,1.38688,0.69233,1.27366,0.007365,0.007365,0.007365
135,8265.39,1.48675,0.80613,1.30961,0.93522,0.89111,0.94186,0.56001,1.38693,0.69374,1.27407,0.00727,0.00727,0.00727
136,8337.25,1.4584,0.78467,1.295,0.93415,0.89352,0.94206,0.56144,1.38245,0.69308,1.27408,0.007175,0.007175,0.007175
137,8409.37,1.47015,0.78527,1.29848,0.93738,0.8899,0.94302,0.55868,1.38936,0.70226,1.27697,0.00708,0.00708,0.00708
138,8485.89,1.46976,0.79288,1.28406,0.93487,0.89496,0.94414,0.5606,1.38767,0.69615,1.27433,0.006985,0.006985,0.006985
139,8567.65,1.48611,0.79796,1.28371,0.93907,0.89381,0.94371,0.56253,1.38518,0.6919,1.27283,0.00689,0.00689,0.00689
140,8646.55,1.46729,0.78863,1.28006,0.94024,0.89578,0.94549,0.56138,1.38657,0.68843,1.27262,0.006795,0.006795,0.006795
141,8727.85,1.49673,0.8099,1.29136,0.93849,0.89384,0.94345,0.56192,1.38659,0.69206,1.27329,0.0067,0.0067,0.0067
142,8807.65,1.47519,0.78596,1.28207,0.93939,0.89639,0.94577,0.56293,1.38551,0.69088,1.27262,0.006605,0.006605,0.006605
143,8886.35,1.47631,0.80393,1.29215,0.93606,0.89619,0.94444,0.56491,1.3831,0.68962,1.27018,0.00651,0.00651,0.00651
144,8962.93,1.48469,0.79397,1.2786,0.93496,0.89595,0.94405,0.56263,1.38578,0.69176,1.2701,0.006415,0.006415,0.006415
145,9035.07,1.46852,0.78792,1.27718,0.93829,0.89805,0.94607,0.56528,1.38128,0.68587,1.26786,0.00632,0.00632,0.00632
146,9110.98,1.46889,0.78038,1.27476,0.94651,0.89676,0.94615,0.5674,1.37265,0.67911,1.26374,0.006225,0.006225,0.006225
147,9188.85,1.47063,0.78143,1.28309,0.94317,0.89582,0.94646,0.56674,1.37627,0.6811,1.26505,0.00613,0.00613,0.00613
148,9273.72,1.48244,0.79921,1.29301,0.94116,0.89768,0.9455,0.56838,1.37793,0.67715,1.26407,0.006035,0.006035,0.006035
149,9347.76,1.46631,0.78349,1.29045,0.94004,0.89991,0.94677,0.56871,1.37678,0.6757,1.26369,0.00594,0.00594,0.00594
150,9421.6,1.45706,0.77918,1.2808,0.94589,0.89395,0.94746,0.57103,1.37443,0.67483,1.26203,0.005845,0.005845,0.005845
